"identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se ha compartido","Visitas al perfil",Respuestas,Navegación,"Clics en el enlace","Toques en stickers",Seguidores
18066558791278333,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/20/2026 08:26",https://www.instagram.com/stories/360radioco/3836821723983789239,"Historia de Instagram",,Total,253,226,4,0,1,0,225,1,,
17866950243571570,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/20/2026 08:25",https://www.instagram.com/stories/360radioco/3836820904316163712,"Historia de Instagram",,Total,271,233,3,0,,0,237,2,,
18040050950764985,17841401871496039,360radioco,"360 Radio Colombia",#Petro,0,"02/20/2026 08:24",https://www.instagram.com/stories/360radioco/3836820382519587111,"Historia de Instagram",,Total,296,253,3,0,,1,265,1,,
18059273801355747,17841401871496039,360radioco,"360 Radio Colombia",#EstadosUnidos,0,"02/20/2026 08:23",https://www.instagram.com/stories/360radioco/3836819903311933373,"Historia de Instagram",,Total,363,299,3,0,2,2,295,1,,
18095069129053418,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/19/2026 11:23",https://www.instagram.com/stories/360radioco/3836186008501699264,"Historia de Instagram",,Total,237,215,2,0,3,1,224,1,,
18072564185397865,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/19/2026 11:22",https://www.instagram.com/stories/360radioco/3836185444141332997,"Historia de Instagram",,Total,251,232,3,0,,0,231,,,
18084561809191560,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/19/2026 11:19",https://www.instagram.com/stories/360radioco/3836183770194590353,"Historia de Instagram",,Total,269,245,4,0,,3,237,,,
18396255961194680,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/19/2026 11:17",https://www.instagram.com/stories/360radioco/3836182868452802381,"Historia de Instagram",,Total,308,269,3,0,,2,258,1,,
17955055077068164,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/19/2026 06:56",https://www.instagram.com/stories/360radioco/3836051319669306303,"Historia de Instagram",,Total,397,333,5,0,1,1,313,1,,
17909725476164490,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/18/2026 10:40",https://www.instagram.com/stories/360radioco/3835439664073692389,"Historia de Instagram",,Total,246,208,4,0,1,0,219,,,
18087964601327763,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/18/2026 10:36",https://www.instagram.com/stories/360radioco/3835437302311442953,"Historia de Instagram",,Total,251,214,2,0,,1,235,,,
18073750130118131,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/18/2026 10:29",https://www.instagram.com/stories/360radioco/3835433902425413616,"Historia de Instagram",,Total,261,228,3,0,,0,233,,,
18019242275809549,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/18/2026 07:18",https://www.instagram.com/stories/360radioco/3835337965397006430,"Historia de Instagram",,Total,247,212,3,0,,0,228,,,
17863713621511326,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/18/2026 07:17",https://www.instagram.com/stories/360radioco/3835337307704944425,"Historia de Instagram",,Total,279,230,4,0,,0,244,,,
18093315125001642,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/18/2026 05:59",https://www.instagram.com/stories/360radioco/3835298044992994061,"Historia de Instagram",,Total,327,261,5,0,2,0,282,,,
17926360215227213,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/17/2026 21:44",https://www.instagram.com/stories/360radioco/3835048877582332218,"Historia de Instagram",,Total,319,261,5,0,,1,271,2,,
18103529176872471,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/17/2026 21:43",https://www.instagram.com/stories/360radioco/3835048597033750255,"Historia de Instagram",,Total,370,309,3,0,2,0,284,1,,
18387437944145928,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/17/2026 09:41",https://www.instagram.com/stories/360radioco/3834685089951683615,"Historia de Instagram",,Total,308,257,3,0,2,1,288,,,
18094337342514759,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/17/2026 09:40",https://www.instagram.com/stories/360radioco/3834684653970574731,"Historia de Instagram",,Total,340,292,4,0,2,0,302,1,,
18066876680268394,17841401871496039,360radioco,"360 Radio Colombia",@acggp_energia,0,"02/17/2026 04:17",https://www.instagram.com/stories/360radioco/3834521919102548701,"Historia de Instagram",,Total,349,294,4,0,2,0,301,,11,
18108991840667310,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/16/2026 18:39",https://www.instagram.com/stories/360radioco/3834231080602206367,"Historia de Instagram",,Total,382,326,5,0,3,1,350,,,
18073324964413268,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/16/2026 18:02",https://www.instagram.com/stories/360radioco/3834212109513528556,"Historia de Instagram",,Total,406,354,5,0,,1,362,,,
18068118527638944,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/16/2026 17:59",https://www.instagram.com/stories/360radioco/3834210708230162235,"Historia de Instagram",,Total,424,377,5,0,1,1,378,2,,
18441784135117924,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/16/2026 17:56",https://www.instagram.com/stories/360radioco/3834209116323984754,"Historia de Instagram",,Total,496,436,5,0,5,0,442,,,
17878052991496586,17841401871496039,360radioco,"360 Radio Colombia",#GustavoPetro,0,"02/16/2026 14:40",https://www.instagram.com/stories/360radioco/3834110897208352893,"Historia de Instagram",,Total,1043,852,6,0,11,3,862,,,
18144270913461733,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/13/2026 17:38",https://www.instagram.com/stories/360radioco/3832025802238164248,"Historia de Instagram",,Total,169,159,2,0,2,1,158,1,,
18097604653746733,17841401871496039,360radioco,"360 Radio Colombia",#CarnavalDeBarranquilla,0,"02/13/2026 17:35",https://www.instagram.com/stories/360radioco/3832024189729580932,"Historia de Instagram",,Total,170,161,2,0,,1,154,2,,
18088367759144456,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/13/2026 17:31",https://www.instagram.com/stories/360radioco/3832022628861327183,"Historia de Instagram",,Total,174,165,1,0,,0,160,,,
18153444751434214,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/13/2026 17:30",https://www.instagram.com/stories/360radioco/3832021743972197238,"Historia de Instagram",,Total,197,180,2,0,1,1,183,,,
18070223066545783,17841401871496039,360radioco,"360 Radio Colombia",#SanValentín,0,"02/13/2026 17:28",https://www.instagram.com/stories/360radioco/3832020754577844238,"Historia de Instagram",,Total,240,211,1,0,2,0,218,,,
18090701723046486,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/12/2026 19:48",https://www.instagram.com/stories/360radioco/3831366589149531330,"Historia de Instagram",,Total,249,194,1,0,2,0,233,1,,1
18119184766592089,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/12/2026 19:45",https://www.instagram.com/stories/360radioco/3831365234204751996,"Historia de Instagram",,Total,253,212,1,0,,1,221,,,
17896913280395157,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/12/2026 19:43",https://www.instagram.com/stories/360radioco/3831364216389771584,"Historia de Instagram",,Total,262,222,1,0,,0,241,1,,
18348086479232285,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/12/2026 19:42",https://www.instagram.com/stories/360radioco/3831363516737952499,"Historia de Instagram",,Total,291,242,1,0,1,1,259,,,
18063921533307396,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/12/2026 19:40",https://www.instagram.com/stories/360radioco/3831362478983238891,"Historia de Instagram",,Total,359,317,1,0,1,0,312,1,,
17966872041010319,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/11/2026 16:12",https://www.instagram.com/stories/360radioco/3830533046852791393,"Historia de Instagram",,Total,287,257,1,0,1,2,269,3,,
17915498115127046,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/11/2026 16:10",https://www.instagram.com/stories/360radioco/3830532242922175117,"Historia de Instagram",,Total,322,282,1,0,,1,289,,,
18134166574504502,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/11/2026 16:08",https://www.instagram.com/stories/360radioco/3830531009025042309,"Historia de Instagram",,Total,330,288,1,0,,1,303,,,
18546179737064264,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/11/2026 16:05",https://www.instagram.com/stories/360radioco/3830529483808371048,"Historia de Instagram",,Total,405,347,2,0,,0,338,5,,
18079109039522911,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/11/2026 07:30",https://www.instagram.com/stories/360radioco/3830270119272907084,"Historia de Instagram",,Total,324,279,3,0,1,3,283,,,
18313567423254353,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/10/2026 19:55",https://www.instagram.com/stories/360radioco/3829920781388636794,"Historia de Instagram",,Total,344,292,2,0,,1,313,1,,
18095297399490798,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/10/2026 19:36",https://www.instagram.com/stories/360radioco/3829911245621732504,"Historia de Instagram",,Total,402,338,3,5,4,0,330,1,,
18094574585299448,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/10/2026 10:56",https://www.instagram.com/stories/360radioco/3829649428651808324,"Historia de Instagram",,Total,352,307,2,0,,1,324,1,,
18422048350143253,17841401871496039,360radioco,"360 Radio Colombia",#Millonarios,0,"02/10/2026 09:41",https://www.instagram.com/stories/360radioco/3829611734181482158,"Historia de Instagram",,Total,398,344,3,0,2,0,374,1,,1
18106271128752002,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/10/2026 08:28",https://www.instagram.com/stories/360radioco/3829574812922987655,"Historia de Instagram",,Total,562,468,0,0,4,0,469,5,,
18203949577324697,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/09/2026 07:22",https://www.instagram.com/stories/360radioco/3828816645423278260,"Historia de Instagram",,Total,541,440,3,0,2,0,494,1,,
17941210818107911,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/09/2026 07:03",https://www.instagram.com/stories/360radioco/3828807128362916830,"Historia de Instagram",,Total,590,494,1,2,3,0,509,3,,
17886223956334061,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/08/2026 22:13",https://www.instagram.com/stories/360radioco/3828540228382899793,"Historia de Instagram",,Total,487,401,0,0,1,0,425,4,,
18399733222180858,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/08/2026 22:12",https://www.instagram.com/stories/360radioco/3828539844830601778,"Historia de Instagram",,Total,514,419,1,0,2,0,476,2,,
18115549495556862,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/08/2026 22:11",https://www.instagram.com/stories/360radioco/3828539493809266299,"Historia de Instagram",,Total,603,493,5,0,1,0,510,15,,
18112071328651421,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/08/2026 08:41",https://www.instagram.com/stories/360radioco/3828131597812390691,"Historia de Instagram",,Total,474,387,2,0,7,0,420,3,,
18070613288174108,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/06/2026 15:11",https://www.instagram.com/stories/360radioco/3826878359817597352,"Historia de Instagram",,Total,425,354,2,0,,0,389,,,
18084758021465019,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/06/2026 09:37",https://www.instagram.com/stories/360radioco/3826710539632779813,"Historia de Instagram",,Total,305,261,2,0,1,0,276,2,,
18431886610112691,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/06/2026 09:23",https://www.instagram.com/stories/360radioco/3826703537024195142,"Historia de Instagram",,Total,338,293,2,0,1,0,300,3,,
18143556511461230,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/05/2026 10:42",https://www.instagram.com/stories/360radioco/3826018328335249214,"Historia de Instagram",,Total,331,281,1,0,3,2,301,5,,
18067839287633659,17841401871496039,360radioco,"360 Radio Colombia",#cr7,0,"02/05/2026 07:11",https://www.instagram.com/stories/360radioco/3825912115555650584,"Historia de Instagram",,Total,383,327,3,0,1,0,333,,,
17979013577804205,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/04/2026 12:48",https://www.instagram.com/stories/360radioco/3825356925526158576,"Historia de Instagram",,Total,411,372,1,0,2,0,368,,,
18095053562310049,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/04/2026 07:13",https://www.instagram.com/stories/360radioco/3825188197274402592,"Historia de Instagram",,Total,520,445,2,0,1,0,484,3,,
